comment
course world expensive costly institution free show importance mean making money course
reason harvard course hour already best explanation python programming matter ive witnessed
serious charity guy young mind
way narration please also upload course video data analysis
course need starting programming worried forgetting problem set official website also certification want
experience using graphing calculator think single sto key also mean assign store value variable
took looking next step watched hour lecture intro cspython another big ivy league school honestly surprised many thing glossed intro class intense certainly got overwhelmed time idea good class really afterwards immediately wanted see program guy offer came across python class ill take course point think would even look paid program anybody reading breakdown information extremely well presented thorough good luck
finished two week great teacher highly recommend someone starting learning python
day day review library day library day day review short loop day day ready create gifs day making somes gif day hour super easy understand day review csv file day day thanks ill try get certificate next week
art thank germany
took hr realise theyre puppetsnot student
quality teacher teaching scale utterly brilliant understand harvard great reputation course indicative quality teaching harvard student harvard whether resident online fortunate indeed many thanks david malan superb course
omg studied python yearsinclude two year navy lecture exactly perfect shrink almost year hour
guy amazing teacher make everything digestable fun really prop
cant overstated great teacher malan hour nontechnical new lot malans teaching style keeping game
simple one course content introduction lecture function variable lecture conditionals lecture loop lecture exception lecture library lecture unit test lecture file lecture regular expression lecture objectoriented programming lecture cetera
first day second day third day fourth day fifth day
starting course today update continue day
month learning python experience bought udemy course main way learn python spend hour morning work learn afterwards well course working went knowing absolutely nothing coding tiny apps name believe every skill needed learn module want learn main focus machine learning industry professional field year less want learn expect finally start clicking month much worth learning good luck
learning pythonwish luck
thanks david malan first lecture start second lecture start third lecture start fourth lecture start fifth lecture start sixth lecture start seventh lecture start eighth lecture start ninth lecture start tenth lecture start
course content introduction lecture function variable lecture conditionals lecture loop lecture exception lecture library lecture unit test lecture file lecture regular expression lecture objectoriented programming lecture cetera
perfect timing wish segment though
great python tutorial instructor exceptional job breaking complex concept bitesized understandable piece
one video prof studying doesnt need tedious got make interesting watching even simplest stuff he teaching cause make dynamic interesting learn
duration lesson lecture function variable hour minute second lecture conditionals hour minute second lecture loop hour minute second lecture exception hour minute second lecture library hour minute second lecture unit test hour minute second lecture file hour minute second lecture regular expression hour minute second lecture objectoriented programming hour minute second lecture cetera hour minute second
learn python programming scratch harvard introduction programming course learned write run simple python program using command line interface improving program user input variable introduction assignment operator comment python pas multiple argument function using comma learn read documentation understand function parameter argument python string builtin functionality manipulate user input strip title case user input single line code python support interactive mode basic arithmetic operation create interactive calculator python support floating point value round nearest integer python automatically format number comma readability creating custom function parameter default value python organize function order calling main function end introduction conditionals python code correct poorly designed leading repetition inefficiency simplification code using else statement simplify code asking fewer question introducing modulo operator modular arithmetic creating function determine number even odd implement program using ifelse construct output house harry potter character based user input introduction loop python count print meow time introduction loop list python using escape sequence concatenate string python implement meow function print meow time iterating list using number python python dictionary allow associate one value another iterating dictionary python introduction dictionary python implementing reusable function print square using loop python exception python refer problem code handle error python using try except handle specific error exception improving user input loop python abstracting user input function python us indentation associate line code python support module encourage reusability code python random module useful function randint shuffle python module generating random data performing statistical analysis handling exception checking user input python refactor code separate error handling main logic python package provide additional functionality beyond builtin module python package manager called pip installing thirdparty package json languageagnostic format exchanging data computer using python json library format data cleanly using conditional statement prevent unwanted function call testing code good practice using assert python lead error screen try except catch test automates testing code simplifying process unit testing technique independent done code unit testing test automates testing process function side effect better testability file allows persistent data storage appending file python automate file closing keyword read sort name file python csv file commonly used store multiple piece information related file read entire file make change memory write back larger file sort list dictionary specific key using sorted function custom key function using lambda function python simplify code use csv library python read write csv file using dictionary reader python allows flexibility handling csv file csv file read written using dictionary python using pillow library read write binary image file introduction regular expression python using library python validate email address regular expression allow specifying pattern character using raw string regular expression match email address regular expression used validate input match pattern new syntax email validation using regular expression regular expression used represent set character concise way validating email address using regular expression python validating email address using regular expression standardize user input avoid data inconsistency improved code using regular expression capture user input python walrus operator allows assigning asking boolean question one line extracting twitter username using regular expression tolerating http regular expression use instead resub conditional logic introduction objectoriented programming python writing function building block complex program immutable tuples changed list used instead using dictionary better semantics readability creating custom data type using class python class python allow standardization attribute method class offer feature dictionary encapsulate validation logic inside class class python imported used file project optional variable custom error message adding patronus attribute student class class allow instance variable accessed changed using dot notation even meet validation requirement python property allow control attribute using getters setter python class control python hard constraint visibility instance variable learn class method python implemented sorting hat class assigns house harry randomly objectoriented programming way encapsulating related data functionality inside class moved related functionality class method better design objectoriented programming python support inheritance inheritance allows subclass inherit functionality parent class create vault class init method stir method print content vault python allows operator overloading special method using set find unique value list dictionary implementing simple bank python deposit withdraw function implementing bank account using objectoriented programming python enforce constant convention adding type hint variable function help catch error running code using type hint python catch error running program documenting code using convention tool modify meow program take command line argument outsource commodity task focus interesting part project python offer powerful feature automatic error message value unpacking unpacking done dictionary well python allows variable number argument function using args kwargs python support procedural objectoriented functional programming paradigm use map function apply function every element list two approach filter list gryffindor student python using dictionary comprehension build data structure succinctly learn generate value python function printing large number sheep causing memory issue cs python course cover variety programming concept tool learning python help problemsolving selfteaching
good thing dont fast forward teacher fast forward enough
god bless man familywhat wonderful training
four hour ive already learned entire semester programming really really really bad teacher amazing
codecamp literal godsend
let propose david malan goat let ahead also propose course dope
wish guy taught programming class back college make much digestible
look easy learn python institution online course outstanding
course sax past month almost end last section well well trying backend developer ill update become one
thing know course available harvard website free free certificate literally harvard dont video problem set harvard website every session need complete final project certifiead
almost year old dont know took long learn code starting absolute zero who ride minimum min day
absolutely outstanding professor malans teaching unparalleledclear engaging inspiring truly set apart though open welcoming approach question never dismisses inquiry saying thats outside scope cant cover instead address question thoughtfully without judgment fostering environment student feel completely comfortable confident ask anything ability create safe supportive learning space extraordinary teacher deeply admire respect there truly one feel fortunate learned
self study index loop conditionals modern syntax match case swift loop chart loop nice loop recap dictionary function forloops print square lecture exception except loop playing function refinement library random slice package json making library unit test pytest storing extracting data external file file messing around list dictionary sorting playing function working csvs image giffs pillow regular expression builtinvariables formating useful cleanup data purpose oop tuples class object quick recap written line inside class property decorator inheritance operation overloading otrher stuff
hr love clear example explanation every part wonderful job professor definitely grateful resource hope many future
take minute appreciate fact student pay big chunk money sit room see lecture getting online free amazing
finished took week clear explanation man genius
conditional elif else harry porter house compress consolidate code multiple consolidate match consolidate match loop loop meow meow meow counter loop loop list type data range list len dictionary dict data structure
take long realize puppet
insanely good instructor formal college education know right professor articulate foundational concept efficiently clearly beginner student also keeping interesting hard come fact course csx put free awesome usually roll eye people assume something good ivy league name slapped case david malan good
malan inducted programming hall fame excellent programming teaching skill make programming lesson fun engaging
great way teaching teaching concept teaching improve upon one code got appreciated thanks
course content lecture function variable creating first program python function bug variable comment pseudocode string parameter formatted string integer principle readability float creating function return value lecture conditionals conditionals statement control flow elif else modulo creating function pythonic coding match lecture loop loop len list dict lecture exception exception syntaxerror valueerror runtime error try except nameerror else pas raise lecture library library random statistic commandline argument slice package apis making library lecture unit test unit test assert pytest lecture file file open csv pil lecture regular expression regular expression case sensitivity cleaning user input extracting user input lecture objectoriented programming objectoriented programming class raise class method static method inheritance operator overloading lecture cetera set global variable constant type hint docstrings argparse unpacking args kwargs map list comprehension filter dictionary comprehension enumerate generator iterators
firstly big thank owner allowing published free everyone harvard university achieved opitomy teaching institution pas good quality knowledge rest mankind reward socitys gratitude team producing content production must also congratulated superb body work extremely proud finally thank malan making presentation engaging informative others stated quality tutor maintain audience attention key making presentation success doubt become hugley popular time binge watching complete past two day likely return time refresh certain topic could propose slight amendment without infering criticism would possible add chapter beginning section content slide beginning user jump roughly relevant timeline interested without large amount scrolling hope institution follow example generosity
recommend everyone want learn python quickly read book python crash course full course additionally important practice learned resource
interesting selftaught coder see new piece information harvard prof malan versus thing get picked selftaught journey another great thanks freecodecamp harvard
order coding mindset essential flourishing field must understand internalize fact matter problem annoyance obstacle face always solution need find humility accept could made mistake somewhere compiler always right
seen much video python exclusively best ever watched till
also formal diction verbal communication
dear beginner wish know thing coursework incredibly amazing definitely take place there doubt totally okay feel overwhelmed first minute please dont give humble request shall honest actually whats covered minute learn day normal pace course fast paced please allow time take slow one step time wont lie yes coursework tough afterall coming harvard google lot along way many video along way dont give
starting today may along edx course assignment submission ill back month check progress
recently started learning python nothing short incredible finding syntax exceptionally logical fantastic newcomer furthermore versatility python multitude sector amazing
master phd still find lecture extremely pleasant subject great teacher
finished thanks people involved making available
save variable name house linerstripsplit make dictionary student name name house house sort dictionary use def getnamestudent return studentname lambda function return name value rearrange whole dictionary loop start dictrionary writing dictwriterfile fieldnamesname home understands column respectively
spent time python must say far best course python
literally less hour searched full python course fcc decided drop one miracle
david really great teacher someone somewhat new also hate school man know exactly provides example bad good better best really give idea programmer think
course content introduction lecture function variable lecture conditionals lecture loop lecture exception lecture library lecture unit test lecture file lecture regular expression lecture objectoriented programming lecture cetera
teacher genius believe year leaving university still focus course hour big thanks david respect
introduction function variable conditionals loop exception library unit test file regular expression objectoriented programming cetera youre welcome
currently starting coding journey hoping become full stack developer wish luck best
guy know teach literally every course ive bought udemypluralsightine others effing boring barely stay awake never finish course boring topic boring teacher make failed learning experience think hang hour finish one though instructor great
starting coding revolutionary
incredible teaching course best appreciate even attitude towards answering question never say scope course discussed moment always provides clear answer without judgment making easy student understand tell student feel safe asking question without fear seeming foolish much respect professor david malan ive never met teacher life love much
may lecture function variable day day day lecture conditionals day lecture loop day lecture exception day lecture library day day lecture unit test day lecture file day day lecture regular expression day day lecture objectoriented programming day day day lecture cetera day day looking forward programming journey
year old gon dedicate minimum min day course day time ill finished ill update
amazes professor incredible ability explain python language even better person created really admire
even experienced python developer really liked way delivers lecture many thing learned
day programming never computer programming except editing wordpress template let
bro single handedly took nothing something
good see learning freelyme haravard student confirm one best course whole university
thank much valuable course thank david malan instructor youre made course interesting easy follow felt sad end course thank whole team course
astounded amazing instructor free course informal accurate thank
print input function def conditionals elifelse match loop dictionary exception tryexceptelsefinally library command line argument
started journey programming today dream ill come back comment one day programmer
age information mean want learn chance high someone teaching somewhere thank
day day day
guy speaks hour straight every month mad respect
going university year professor genuinely excited teach topic hand coincidentally thats subject best genuinely refreshing see someone teaching something also engaging thoughtful well done side note currently oop part gosh hate oop passion hoping david actually explains properly yet envounter anyone seems every oop tutorial always mess
beginner found oop unit testing chapter incredibly useful really gold super clear teaching style thank much posting
really good really go detail whats happening behind code edit first four hour refresher still learnt thing excellent teacher kinda blown away good teacher literally everything crystal clear also love called ugly needlessly indeed
guy know explain thing true sign intelligence unlike teacher get confused
dude introduction flipping awesome
fact guy teach programming python passion motivating massive thanks
thank much fcc incredible ressource thank david malan great professor learnt much course even excited journey learning python thanks
awesome love one fantastic
started coding recently hopefully going learn lot
probably best course introductory python ever seen really incredible david teach python course intermediate advanced level pure joy true maestro
day day day day day reviewing day also making calculator guessing number generating random number using elif try expect day little bit busy today going alot night learn brocode succesfully finished fourth lecture also upgrade calculator list number use determine operator day make coin flip game base number using randrange function ask user want choose head tailsz randomize number determine head tail part else compare user input true wrong randomize number already determine head tail else also use concept print user input input head tail lasly print terminal continue journey today brocode day going continue brocode done basic
